iter	Passed	Remaining
0	57	57083
1	57	28777
2	58	19333
3	58	14614
4	59	11770
5	59	9874
6	59	8508
7	60	7491
8	60	6694
9	61	6055
10	61	5536
11	61	5102
12	62	4733
13	62	4419
14	63	4146
15	63	3906
16	63	3698
17	64	3517
18	65	3357
19	65	3207
20	65	3070
21	66	2944
22	66	2830
23	67	2725
24	67	2629
25	67	2541
26	68	2460
27	68	2383
28	69	2311
29	69	2244
30	69	2182
31	70	2124
32	70	2070
33	71	2017
34	71	1969
35	71	1925
36	72	1881
37	72	1840
38	73	1800
39	73	1762
40	73	1727
41	74	1693
42	74	1662
43	75	1630
44	75	1600
45	75	1572
46	76	1547
47	76	1523
48	77	1499
49	77	1479
50	78	1458
51	78	1438
52	79	1422
53	80	1404
54	80	1385
55	81	1369
56	81	1353
57	82	1337
58	82	1321
59	83	1306
60	83	1292
61	84	1279
62	85	1266
63	85	1255
64	86	1243
65	87	1231
66	87	1219
67	88	1207
68	88	1196
69	89	1185
70	89	1174
71	90	1163
72	90	1152
73	91	1142
74	91	1133
75	92	1123
76	92	1113
77	93	1104
78	93	1095
79	94	1086
80	95	1078
81	95	1070
82	95	1059
83	96	1050
84	96	1042
85	97	1035
86	97	1027
87	98	1020
88	98	1012
89	99	1005
90	99	998
91	100	992
92	101	985
93	101	978
94	102	971
95	102	965
96	103	959
97	103	953
98	104	947
99	104	941
100	105	936
101	105	930
102	106	925
103	106	919
104	107	914
105	107	909
106	108	903
107	108	899
108	109	893
109	109	889
110	110	884
111	110	879
112	111	874
113	111	870
114	112	865
115	112	861
116	113	855
117	113	851
118	114	847
119	114	842
120	115	838
121	115	834
122	116	830
123	116	825
124	117	822
125	117	818
126	118	813
127	118	809
128	119	806
129	119	802
130	120	798
131	120	795
132	121	791
133	121	787
134	122	784
135	123	781
136	123	778
137	124	774
138	124	771
139	125	768
140	125	764
141	125	761
142	126	758
143	127	755
144	127	752
145	128	749
146	128	746
147	129	742
148	129	740
149	130	736
150	130	733
151	130	730
152	131	726
153	131	723
154	132	719
155	132	716
156	132	713
157	133	709
158	133	706
159	134	703
160	134	700
161	134	697
162	135	695
163	135	692
164	136	689
165	136	686
166	137	683
167	137	681
168	137	678
169	138	675
170	138	672
171	139	669
172	139	667
173	139	664
174	140	661
175	140	659
176	141	656
177	141	653
178	141	651
179	142	648
180	142	645
181	143	643
182	143	640
183	143	638
184	144	635
185	144	633
186	145	630
187	145	628
188	145	626
189	146	624
190	146	622
191	147	619
192	147	618
193	148	617
194	149	616
195	149	615
196	150	613
197	151	611
198	151	610
199	152	608
200	152	606
201	153	604
202	153	602
203	153	600
204	154	598
205	154	596
206	155	595
207	155	593
208	156	591
209	156	589
210	157	588
211	157	586
212	158	584
213	158	583
214	159	581
215	159	579
216	160	578
217	160	576
218	161	575
219	161	574
220	162	573
221	163	572
222	164	571
223	164	570
224	165	569
225	166	568
226	166	566
227	166	565
228	167	563
229	168	562
230	168	561
231	169	559
232	169	557
233	169	556
234	170	554
235	170	553
236	171	551
237	171	550
238	172	549
239	172	547
240	173	545
241	173	544
242	174	543
243	174	541
244	175	540
245	175	539
246	176	538
247	177	536
248	177	535
249	178	534
250	178	534
251	179	533
252	180	532
253	180	531
254	181	529
255	181	528
256	182	527
257	183	526
258	183	525
259	184	523
260	184	522
261	185	521
262	185	519
263	186	518
264	186	517
265	186	515
266	187	514
267	188	513
268	188	512
269	189	511
270	189	509
271	190	508
272	190	507
273	191	506
274	191	505
275	192	505
276	193	504
277	193	503
278	194	502
279	195	501
280	195	500
281	196	499
282	196	498
283	197	497
284	197	495
285	198	494
286	198	493
287	199	492
288	199	491
289	200	490
290	200	489
291	201	488
292	201	487
293	202	486
294	202	484
295	203	483
296	204	482
297	204	482
298	205	481
299	205	480
300	206	479
301	207	478
302	207	478
303	208	477
304	209	476
305	209	475
306	210	474
307	210	473
308	211	473
309	212	472
310	212	470
311	213	469
312	213	468
313	214	467
314	214	466
315	215	465
316	215	464
317	216	463
318	216	462
319	217	461
320	217	460
321	218	459
322	218	458
323	219	457
324	219	456
325	220	455
326	220	454
327	221	453
328	222	452
329	222	452
330	223	451
331	224	450
332	224	449
333	225	448
334	225	447
335	225	446
336	226	445
337	227	444
338	227	443
339	228	442
340	228	441
341	229	440
342	229	439
343	230	438
344	230	437
345	231	436
346	231	435
347	232	434
348	232	433
349	233	432
350	233	431
351	234	431
352	234	430
353	235	429
354	235	428
355	236	427
356	237	426
357	237	426
358	238	425
359	238	424
360	239	424
361	240	423
362	240	422
363	241	421
364	241	420
365	242	419
366	242	418
367	243	417
368	243	416
369	244	415
370	244	414
371	245	413
372	245	413
373	246	412
374	246	411
375	247	410
376	247	409
377	248	408
378	248	407
379	249	407
380	250	406
381	250	405
382	251	405
383	252	404
384	252	403
385	253	403
386	253	402
387	254	401
388	254	400
389	255	399
390	255	398
391	256	397
392	256	396
393	257	396
394	258	395
395	258	394
396	259	393
397	259	392
398	260	391
399	260	391
400	261	390
401	261	389
402	262	388
403	262	387
404	263	386
405	263	385
406	264	384
407	264	383
408	265	382
409	265	382
410	266	381
411	266	380
412	267	379
413	267	378
414	268	377
415	268	376
416	268	375
417	269	374
418	269	373
419	269	372
420	270	371
421	270	370
422	271	369
423	271	368
424	271	367
425	272	366
426	272	365
427	272	364
428	273	363
429	273	362
430	274	362
431	274	361
432	274	360
433	275	359
434	275	358
435	276	357
436	276	356
437	276	355
438	277	354
439	277	353
440	278	352
441	278	351
442	279	351
443	279	350
444	280	349
445	280	348
446	281	347
447	281	347
448	282	346
449	282	345
450	283	344
451	283	343
452	284	342
453	284	342
454	284	341
455	285	340
456	285	339
457	286	338
458	286	337
459	286	336
460	287	335
461	287	335
462	288	334
463	288	333
464	288	332
465	289	331
466	289	330
467	290	329
468	290	328
469	290	328
470	291	327
471	291	326
472	292	325
473	292	324
474	293	323
475	293	323
476	293	322
477	294	321
478	294	320
479	295	320
480	295	319
481	296	318
482	296	317
483	297	316
484	297	316
485	298	315
486	298	314
487	299	313
488	299	312
489	299	312
490	300	311
491	300	310
492	301	310
493	301	309
494	302	308
495	302	307
496	303	306
497	303	306
498	304	305
499	304	304
500	304	303
501	305	302
502	305	301
503	306	301
504	306	300
505	306	299
506	307	298
507	307	298
508	308	297
509	309	296
510	309	296
511	309	295
512	310	294
513	310	293
514	311	293
515	311	292
516	311	291
517	312	290
518	312	289
519	313	288
520	313	288
521	313	287
522	314	286
523	314	285
524	315	285
525	315	284
526	315	283
527	316	282
528	316	282
529	317	281
530	317	280
531	318	279
532	318	279
533	318	278
534	319	277
535	319	276
536	320	276
537	320	275
538	321	274
539	321	274
540	322	273
541	323	273
542	324	272
543	324	272
544	325	271
545	325	270
546	326	270
547	326	269
548	327	268
549	327	268
550	328	267
551	328	266
552	329	266
553	330	265
554	331	265
555	331	264
556	332	264
557	332	263
558	333	263
559	334	262
560	334	262
561	335	261
562	335	260
563	336	260
564	337	259
565	337	258
566	337	258
567	338	257
568	338	256
569	339	255
570	339	255
571	339	254
572	340	253
573	340	252
574	341	252
575	341	251
576	341	250
577	342	249
578	342	249
579	343	248
580	343	247
581	343	246
582	344	246
583	344	245
584	345	244
585	345	244
586	346	243
587	346	242
588	346	242
589	347	241
590	347	240
591	348	240
592	349	239
593	349	238
594	349	238
595	350	237
596	350	236
597	351	236
598	351	235
599	352	234
600	352	234
601	352	233
602	353	232
603	353	231
604	354	231
605	354	230
606	354	229
607	355	229
608	355	228
609	355	227
610	356	226
611	356	226
612	357	225
613	357	224
614	358	224
615	358	223
616	358	222
617	359	221
618	359	221
619	360	220
620	360	220
621	360	219
622	361	218
623	361	218
624	362	217
625	362	216
626	363	216
627	363	215
628	364	214
629	364	214
630	364	213
631	365	212
632	365	211
633	366	211
634	366	210
635	366	209
636	367	209
637	367	208
638	367	207
639	368	207
640	368	206
641	369	205
642	369	205
643	370	204
644	370	203
645	370	203
646	371	202
647	371	201
648	372	201
649	372	200
650	372	199
651	373	199
652	373	198
653	374	197
654	374	197
655	375	196
656	375	196
657	375	195
658	376	194
659	376	194
660	377	193
661	377	192
662	378	192
663	378	191
664	379	191
665	380	190
666	380	190
667	381	189
668	381	188
669	382	188
670	382	187
671	383	187
672	383	186
673	384	185
674	384	185
675	384	184
676	385	183
677	385	183
678	386	182
679	386	181
680	387	181
681	387	180
682	387	179
683	388	179
684	388	178
685	389	178
686	389	177
687	390	176
688	390	176
689	391	175
690	391	175
691	392	174
692	392	173
693	393	173
694	393	172
695	393	172
696	394	171
697	394	170
698	395	170
699	395	169
700	395	168
701	396	168
702	396	167
703	397	166
704	397	166
705	397	165
706	398	165
707	398	164
708	399	163
709	399	163
710	399	162
711	400	161
712	400	161
713	400	160
714	401	159
715	401	159
716	402	158
717	402	158
718	402	157
719	403	156
720	403	156
721	404	155
722	404	155
723	404	154
724	405	153
725	405	153
726	406	152
727	406	151
728	406	151
729	407	150
730	407	150
731	408	149
732	408	148
733	408	148
734	409	147
735	409	146
736	409	146
737	410	145
738	410	145
739	411	144
740	411	143
741	412	143
742	412	142
743	413	142
744	413	141
745	413	140
746	414	140
747	414	139
748	415	139
749	415	138
750	415	137
751	416	137
752	416	136
753	417	136
754	417	135
755	417	134
756	418	134
757	418	133
758	419	133
759	419	132
760	419	131
761	420	131
762	420	130
763	421	130
764	421	129
765	421	128
766	422	128
767	422	127
768	423	127
769	423	126
770	423	125
771	424	125
772	424	124
773	425	124
774	425	123
775	425	122
776	426	122
777	426	121
778	427	121
779	427	120
780	427	119
781	428	119
782	428	118
783	428	118
784	429	117
785	429	116
786	430	116
787	430	115
788	430	115
789	431	114
790	431	114
791	432	113
792	432	112
793	432	112
794	433	111
795	433	111
796	434	110
797	434	110
798	434	109
799	435	108
800	435	108
801	436	107
802	436	107
803	436	106
804	437	105
805	437	105
806	437	104
807	438	104
808	438	103
809	439	102
810	439	102
811	439	101
812	440	101
813	440	100
814	441	100
815	441	99
816	441	98
817	442	98
818	442	97
819	442	97
820	443	96
