iter	Passed	Remaining
0	0	703
1	1	643
2	1	606
3	2	598
4	2	584
5	3	580
6	4	584
7	4	593
8	5	593
9	6	601
10	6	609
11	7	621
12	8	617
13	8	617
14	9	615
15	9	611
16	10	604
17	10	599
18	11	594
19	12	592
20	12	589
21	13	585
22	13	581
23	14	579
24	14	580
25	15	577
26	15	575
27	16	573
28	17	572
29	17	571
30	18	570
31	18	570
32	19	571
33	20	570
34	20	570
35	21	569
36	21	568
37	22	565
38	22	563
39	23	562
40	24	561
41	24	560
42	25	559
43	25	558
44	26	555
45	26	553
46	27	552
47	27	550
48	28	550
49	28	549
50	29	547
51	30	547
52	30	547
53	31	546
54	31	548
55	32	548
56	33	549
57	34	563
58	35	563
59	35	563
60	36	562
61	37	560
62	37	559
63	38	558
64	38	557
65	39	556
66	39	554
67	40	553
68	40	552
69	41	550
70	42	549
71	42	548
72	43	547
73	43	548
74	44	548
75	45	547
76	45	548
77	46	548
78	47	548
79	47	547
80	48	547
81	49	548
82	49	545
83	49	544
84	50	543
85	51	542
86	51	541
87	52	541
88	52	540
89	53	539
90	53	538
91	54	537
92	55	536
93	55	536
94	56	535
95	56	534
96	57	533
97	57	533
98	58	533
99	59	532
100	59	531
101	60	531
102	60	531
103	61	530
104	62	530
105	62	529
106	63	530
107	64	530
108	64	530
109	65	529
110	65	528
111	66	527
112	67	526
113	67	525
114	68	524
115	68	523
116	69	521
117	69	520
118	70	520
119	70	519
120	71	518
121	71	516
122	72	516
123	73	516
124	73	516
125	74	515
126	74	513
127	75	513
128	75	513
129	76	512
130	77	511
131	77	511
132	78	510
133	78	509
134	79	508
135	79	507
136	80	506
137	80	505
138	81	505
139	82	504
140	82	503
141	82	501
142	83	500
143	84	499
144	84	498
145	85	498
146	85	497
147	86	497
148	86	496
149	87	495
150	87	494
151	88	493
152	89	493
153	89	492
154	90	491
155	90	491
156	91	490
157	91	490
158	92	489
159	93	489
160	93	487
161	94	486
162	94	485
163	95	485
164	95	484
165	96	483
166	96	483
167	97	482
168	98	482
169	98	481
170	99	481
171	99	480
172	100	480
173	101	480
174	101	479
175	102	479
176	102	478
177	103	478
178	104	477
179	104	477
180	105	476
181	105	476
182	106	475
183	107	474
184	107	474
185	108	473
186	108	472
187	109	472
188	109	471
189	110	471
190	111	470
191	111	469
192	112	468
193	112	468
194	113	468
195	114	467
196	114	467
197	115	466
198	115	466
199	116	466
200	117	465
201	117	465
202	118	464
203	119	464
204	119	464
205	120	463
206	120	462
207	121	462
208	122	461
209	122	461
210	123	460
211	123	460
212	124	459
213	124	458
214	125	457
215	125	457
216	126	456
217	127	455
218	127	455
219	128	454
220	128	454
221	129	453
222	130	453
223	130	452
224	131	452
225	132	452
226	132	451
227	133	451
228	133	450
229	134	450
230	135	449
231	135	449
232	136	448
233	136	447
234	137	447
235	137	446
236	138	445
237	138	445
238	139	444
239	140	443
240	140	443
241	141	442
242	141	441
243	142	441
244	142	440
245	143	439
246	144	439
247	144	438
248	145	438
249	145	437
250	146	437
251	147	436
252	147	436
253	148	435
254	148	435
255	149	434
256	150	434
257	150	433
258	151	432
259	151	432
260	152	431
261	153	431
262	153	431
263	154	430
264	155	430
265	155	429
266	156	428
267	156	428
268	157	427
269	157	427
270	158	426
271	159	425
272	159	424
273	159	423
274	160	423
275	161	422
276	161	421
277	162	421
278	162	420
279	163	419
280	163	418
281	164	418
282	164	417
283	165	416
284	165	416
285	166	415
286	166	414
287	167	414
288	167	413
289	168	412
290	168	411
291	169	410
292	169	410
293	170	409
294	170	408
295	171	407
296	172	407
297	172	406
298	173	406
299	173	405
300	174	404
301	174	404
302	175	403
303	176	403
304	176	402
305	177	401
306	177	401
307	178	400
308	178	399
309	179	398
310	179	398
311	180	397
312	180	396
313	181	396
314	181	395
315	182	394
316	182	393
317	183	393
318	183	392
319	184	391
320	184	391
321	185	390
322	186	389
323	186	389
324	187	388
325	187	387
326	188	387
327	188	386
328	189	385
329	189	384
330	190	384
331	190	384
332	191	383
333	192	382
334	192	382
335	193	381
336	193	380
337	193	379
338	194	379
339	194	378
340	195	377
341	195	376
342	196	376
343	196	375
344	197	374
345	197	373
346	198	372
347	198	372
348	198	371
349	199	370
350	199	369
351	200	368
352	200	367
353	201	367
354	201	366
355	202	365
356	202	365
357	203	364
358	203	364
359	204	363
360	204	362
361	205	362
362	206	361
363	206	360
364	206	360
365	207	359
366	207	358
367	208	357
368	208	356
369	209	356
370	209	355
371	209	354
372	210	353
373	210	352
374	211	351
375	211	351
376	211	350
377	212	349
378	212	348
379	213	347
380	213	346
381	213	346
382	214	345
383	214	344
384	215	343
385	215	343
386	216	342
387	216	341
388	217	340
389	217	340
390	217	339
391	218	338
392	218	337
393	219	337
394	219	336
395	220	335
396	220	334
397	220	333
398	221	333
399	221	332
400	222	331
401	222	330
402	222	330
403	223	329
404	223	328
405	224	327
406	224	326
407	224	326
408	225	325
409	225	324
410	225	323
411	226	323
412	226	322
413	227	321
414	227	320
415	228	320
416	228	319
417	228	318
418	229	317
419	229	317
420	230	316
421	230	315
422	231	315
423	231	314
424	231	313
425	232	312
426	232	312
427	233	311
428	233	310
429	234	310
430	234	309
431	234	308
432	235	307
433	235	307
434	235	306
435	236	305
436	236	304
437	237	304
438	237	303
439	237	302
440	238	302
441	238	301
442	239	300
443	239	299
444	239	299
445	240	298
446	240	297
447	241	297
448	241	296
449	242	295
450	242	295
451	242	294
452	243	293
453	243	293
454	244	292
455	244	291
456	244	291
457	245	290
458	245	289
459	246	289
460	246	288
461	247	287
462	247	287
463	248	286
464	248	286
465	249	285
466	249	284
467	249	283
468	250	283
469	250	282
470	250	281
471	251	281
472	251	280
473	252	279
474	252	279
475	252	278
476	253	277
477	253	277
478	254	276
479	254	275
480	254	275
481	255	274
482	255	273
483	256	273
484	256	272
485	257	271
486	257	271
487	258	270
488	258	270
489	258	269
490	259	268
491	259	268
492	260	267
493	260	266
494	261	266
495	261	265
496	261	265
497	262	264
498	262	263
499	263	263
500	263	262
501	263	261
502	264	261
503	264	260
504	265	259
505	265	259
506	265	258
507	266	258
508	266	257
509	267	256
510	267	256
511	268	255
512	268	254
513	268	254
514	269	253
515	269	252
516	270	252
517	270	251
518	270	251
519	271	250
520	271	249
521	272	249
522	272	248
523	273	248
524	273	247
525	274	246
526	274	246
527	274	245
528	275	245
529	275	244
530	276	243
531	276	243
532	277	242
533	277	242
534	277	241
535	278	240
536	278	240
537	279	239
538	279	239
539	279	238
540	280	237
541	280	237
542	281	236
543	281	236
544	281	235
545	282	234
546	282	234
547	283	233
548	283	232
549	283	232
550	284	231
551	284	231
552	285	230
553	285	229
554	286	229
555	286	228
556	287	228
557	287	227
558	288	227
559	288	226
560	289	226
561	289	225
562	290	225
563	290	224
564	291	224
565	291	223
566	292	223
567	292	222
568	293	222
569	293	221
570	294	220
571	294	220
572	294	219
573	295	219
574	295	218
575	296	217
576	296	217
577	296	216
578	297	216
579	297	215
580	298	214
581	298	214
582	298	213
583	299	213
584	299	212
585	299	211
586	300	211
587	300	210
588	301	210
589	301	209
590	302	209
591	302	208
592	303	207
593	303	207
594	303	206
595	304	206
596	304	205
597	305	205
598	305	204
599	306	204
600	306	203
601	306	202
602	307	202
603	307	201
604	308	201
605	308	200
606	308	199
607	309	199
608	309	198
609	309	198
610	310	197
611	310	197
612	311	196
613	311	195
614	312	195
615	312	194
616	312	194
617	313	193
618	313	193
619	314	192
620	314	192
621	315	191
622	315	190
623	316	190
624	316	189
625	317	189
626	317	188
627	317	188
628	318	187
